mode,input_difference_V,pass_all_four_and_reset,cycles,reset_ok,worst_resolution_delay_ns,SOUT_cycle0_V,SOUT_cycle1_V,SOUT_cycle2_V,SOUT_cycle3_V
default,0.5,True,PPPP,True,1.963699999999994,5.0,5.50892e-08,5.0,5.50892e-08
default,0.1,True,PPPP,True,3.022699999999997,5.0,5.52252e-08,5.0,5.52252e-08
default,0.01,True,PPPP,True,4.482999999999994,5.0,5.65875e-08,5.0,5.65875e-08
default,0.001,True,PPPP,True,5.923799999999996,5.0,5.69897e-08,5.0,5.69897e-08
default,0.0001,True,PPPP,True,7.3631999999999955,5.0,5.70354e-08,5.0,5.70354e-08
default,1e-05,True,PPPP,True,8.802499999999995,5.0,5.70405e-08,5.0,5.70405e-08
default,1e-06,True,PPPP,True,10.241799999999996,5.0,5.7044e-08,5.0,5.7044e-08
default,1e-07,True,PPPP,True,11.681099999999995,5.0,5.70631e-08,5.0,5.70631e-08
default,1e-08,True,PPPP,True,13.120399999999997,5.0,5.71831e-08,5.0,5.71831e-08
default,1e-09,True,PPPP,True,14.559699999999996,5.0,5.79402e-08,5.0,5.79402e-08
default,1e-10,True,PPPP,True,15.999099999999995,5.0,6.27164e-08,5.0,6.27175e-08
default,1e-11,True,PPPP,True,17.440299999999993,5.0,9.28568e-08,5.0,9.28062e-08
default,1e-12,True,PPPP,True,18.8803,5.0,2.83555e-07,5.0,2.83863e-07
default,1e-13,True,PPPP,True,20.285999999999973,4.99999,1.56741e-06,4.99999,1.49721e-06
default,1e-14,False,FPPP,True,,3.73958e-06,5.48906e-06,4.99997,4.3324e-06
default,1e-15,False,PPFF,True,,4.99996,5.84117e-06,1.40558e-05,4.9998
default,1e-16,False,PFFF,True,,4.99997,4.99993,2.84509e-05,4.99997
default,0,False,PFFF,True,,4.99997,4.99993,2.84509e-05,4.99997
tight,0.5,True,PPPP,True,1.9637999999999927,5.0,5.50892e-08,5.0,5.50892e-08
tight,0.1,True,PPPP,True,3.0228999999999946,5.0,5.52252e-08,5.0,5.52252e-08
tight,0.01,True,PPPP,True,4.483299999999997,5.0,5.65875e-08,5.0,5.65875e-08
tight,0.001,True,PPPP,True,5.924199999999992,5.0,5.69896e-08,5.0,5.69896e-08
tight,0.0001,True,PPPP,True,7.363599999999997,5.0,5.70354e-08,5.0,5.70354e-08
tight,1e-05,True,PPPP,True,8.803099999999995,5.0,5.70405e-08,5.0,5.70405e-08
tight,1e-06,True,PPPP,True,10.242499999999994,5.0,5.7044e-08,5.0,5.7044e-08
tight,1e-07,True,PPPP,True,11.681899999999994,5.0,5.70632e-08,5.0,5.70632e-08
tight,1e-08,True,PPPP,True,13.121299999999993,5.0,5.71834e-08,5.0,5.71834e-08
tight,1e-09,True,PPPP,True,14.560799999999997,5.0,5.79423e-08,5.0,5.79423e-08
tight,1e-10,True,PPPP,True,16.000799999999995,5.0,6.27277e-08,5.0,6.27277e-08
tight,1e-11,True,PPPP,True,17.440399999999997,5.0,9.28651e-08,5.0,9.29774e-08
tight,1e-12,True,PPPP,True,18.913899999999995,5.0,2.84217e-07,5.0,2.76047e-07
tight,1e-13,True,PPPP,True,20.247999999999983,4.99999,1.4967e-06,4.99999,1.28783e-06
tight,1e-14,False,PPFP,True,,4.99998,8.89822e-06,3.05898e-06,4.00538e-06
tight,1e-15,False,FPFP,True,,2.23279e-06,4.98995e-06,7.19167e-06,1.27387e-05
tight,1e-16,False,FPFF,True,,4.95356e-06,7.711e-06,1.0562e-05,4.99999
tight,0,False,FPFF,True,,4.95356e-06,7.711e-06,1.0562e-05,4.99999
